"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 10 15:37:16 UTC 2026","Tue Feb 10 15:37:17 UTC 2026","449","","Comprehensive Test Suite","","","","TC005 - Login validation checks",""
"failed","Tue Feb 10 15:37:18 UTC 2026","Tue Feb 10 15:37:19 UTC 2026","551","","Comprehensive Test Suite","","","","TC008 - List filtering operations",""
"failed","Tue Feb 10 15:37:13 UTC 2026","Tue Feb 10 15:37:14 UTC 2026","507","","Comprehensive Test Suite","","","","TC001 - User can perform basic math operations",""
"failed","Tue Feb 10 15:37:14 UTC 2026","Tue Feb 10 15:37:15 UTC 2026","544","","Comprehensive Test Suite","","","","TC002 - User can verify string operations",""
"failed","Tue Feb 10 15:37:20 UTC 2026","Tue Feb 10 15:37:20 UTC 2026","597","","Comprehensive Test Suite","","","","TC010 - Performance assertion",""
"failed","Tue Feb 10 15:37:16 UTC 2026","Tue Feb 10 15:37:16 UTC 2026","480","","Comprehensive Test Suite","","","","TC004 - Boolean logic verification",""
"failed","Tue Feb 10 15:37:19 UTC 2026","Tue Feb 10 15:37:19 UTC 2026","510","","Comprehensive Test Suite","","","","TC009 - Error handling check (Expected Failure)",""
"failed","Tue Feb 10 15:37:15 UTC 2026","Tue Feb 10 15:37:15 UTC 2026","479","","Comprehensive Test Suite","","","","TC003 - Array operations work correctly",""
"failed","Tue Feb 10 15:37:17 UTC 2026","Tue Feb 10 15:37:17 UTC 2026","492","","Comprehensive Test Suite","","","","TC006 - Data validation with multiple fields",""
"failed","Tue Feb 10 15:38:08 UTC 2026","Tue Feb 10 15:38:09 UTC 2026","527","","Transfers from Flexi Account","","","","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)",""
"failed","Tue Feb 10 15:37:17 UTC 2026","Tue Feb 10 15:37:18 UTC 2026","652","","Comprehensive Test Suite","","","","TC007 - Complex calculation validation",""
