"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 10 15:46:19 UTC 2026","Tue Feb 10 15:46:19 UTC 2026","465","","Comprehensive Test Suite","","","","TC005 - Login validation checks",""
"failed","Tue Feb 10 15:47:11 UTC 2026","Tue Feb 10 15:47:12 UTC 2026","501","","Transfers from Flexi Account","","","","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)",""
"failed","Tue Feb 10 15:46:22 UTC 2026","Tue Feb 10 15:46:22 UTC 2026","539","","Comprehensive Test Suite","","","","TC009 - Error handling check (Expected Failure)",""
"failed","Tue Feb 10 15:46:17 UTC 2026","Tue Feb 10 15:46:18 UTC 2026","511","","Comprehensive Test Suite","","","","TC003 - Array operations work correctly",""
"failed","Tue Feb 10 15:46:21 UTC 2026","Tue Feb 10 15:46:21 UTC 2026","674","","Comprehensive Test Suite","","","","TC008 - List filtering operations",""
"failed","Tue Feb 10 15:46:20 UTC 2026","Tue Feb 10 15:46:21 UTC 2026","590","","Comprehensive Test Suite","","","","TC007 - Complex calculation validation",""
"failed","Tue Feb 10 15:46:17 UTC 2026","Tue Feb 10 15:46:17 UTC 2026","551","","Comprehensive Test Suite","","","","TC002 - User can verify string operations",""
"failed","Tue Feb 10 15:46:19 UTC 2026","Tue Feb 10 15:46:20 UTC 2026","514","","Comprehensive Test Suite","","","","TC006 - Data validation with multiple fields",""
"failed","Tue Feb 10 15:46:16 UTC 2026","Tue Feb 10 15:46:16 UTC 2026","492","","Comprehensive Test Suite","","","","TC001 - User can perform basic math operations",""
"failed","Tue Feb 10 15:46:18 UTC 2026","Tue Feb 10 15:46:18 UTC 2026","531","","Comprehensive Test Suite","","","","TC004 - Boolean logic verification",""
"failed","Tue Feb 10 15:46:22 UTC 2026","Tue Feb 10 15:46:23 UTC 2026","554","","Comprehensive Test Suite","","","","TC010 - Performance assertion",""
