"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 10 15:11:32 UTC 2026","Tue Feb 10 15:11:33 UTC 2026","638","","Comprehensive Test Suite","","","","TC009 - Error handling check (Expected Failure)",""
"failed","Tue Feb 10 15:11:29 UTC 2026","Tue Feb 10 15:11:30 UTC 2026","535","","Comprehensive Test Suite","","","","TC005 - Login validation checks",""
"failed","Tue Feb 10 15:11:27 UTC 2026","Tue Feb 10 15:11:27 UTC 2026","506","","Comprehensive Test Suite","","","","TC001 - User can perform basic math operations",""
"failed","Tue Feb 10 15:11:29 UTC 2026","Tue Feb 10 15:11:29 UTC 2026","430","","Comprehensive Test Suite","","","","TC004 - Boolean logic verification",""
"failed","Tue Feb 10 15:11:33 UTC 2026","Tue Feb 10 15:11:34 UTC 2026","573","","Comprehensive Test Suite","","","","TC010 - Performance assertion",""
"failed","Tue Feb 10 15:11:27 UTC 2026","Tue Feb 10 15:11:28 UTC 2026","490","","Comprehensive Test Suite","","","","TC002 - User can verify string operations",""
"failed","Tue Feb 10 15:11:32 UTC 2026","Tue Feb 10 15:11:32 UTC 2026","533","","Comprehensive Test Suite","","","","TC008 - List filtering operations",""
"failed","Tue Feb 10 15:11:28 UTC 2026","Tue Feb 10 15:11:29 UTC 2026","526","","Comprehensive Test Suite","","","","TC003 - Array operations work correctly",""
"failed","Tue Feb 10 15:11:31 UTC 2026","Tue Feb 10 15:11:31 UTC 2026","648","","Comprehensive Test Suite","","","","TC007 - Complex calculation validation",""
"failed","Tue Feb 10 15:12:20 UTC 2026","Tue Feb 10 15:12:21 UTC 2026","543","","Transfers from Flexi Account","","","","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)",""
"failed","Tue Feb 10 15:11:30 UTC 2026","Tue Feb 10 15:11:31 UTC 2026","616","","Comprehensive Test Suite","","","","TC006 - Data validation with multiple fields",""
