"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 10 15:28:20 UTC 2026","Tue Feb 10 15:28:20 UTC 2026","549","","Comprehensive Test Suite","","","","TC009 - Error handling check (Expected Failure)",""
"failed","Tue Feb 10 15:28:14 UTC 2026","Tue Feb 10 15:28:14 UTC 2026","478","","Comprehensive Test Suite","","","","TC001 - User can perform basic math operations",""
"failed","Tue Feb 10 15:28:18 UTC 2026","Tue Feb 10 15:28:19 UTC 2026","596","","Comprehensive Test Suite","","","","TC007 - Complex calculation validation",""
"failed","Tue Feb 10 15:28:17 UTC 2026","Tue Feb 10 15:28:18 UTC 2026","546","","Comprehensive Test Suite","","","","TC006 - Data validation with multiple fields",""
"failed","Tue Feb 10 15:28:20 UTC 2026","Tue Feb 10 15:28:21 UTC 2026","646","","Comprehensive Test Suite","","","","TC010 - Performance assertion",""
"failed","Tue Feb 10 15:28:19 UTC 2026","Tue Feb 10 15:28:19 UTC 2026","590","","Comprehensive Test Suite","","","","TC008 - List filtering operations",""
"failed","Tue Feb 10 15:28:16 UTC 2026","Tue Feb 10 15:28:17 UTC 2026","549","","Comprehensive Test Suite","","","","TC004 - Boolean logic verification",""
"failed","Tue Feb 10 15:28:15 UTC 2026","Tue Feb 10 15:28:15 UTC 2026","530","","Comprehensive Test Suite","","","","TC002 - User can verify string operations",""
"failed","Tue Feb 10 15:28:17 UTC 2026","Tue Feb 10 15:28:17 UTC 2026","485","","Comprehensive Test Suite","","","","TC005 - Login validation checks",""
"failed","Tue Feb 10 15:28:15 UTC 2026","Tue Feb 10 15:28:16 UTC 2026","502","","Comprehensive Test Suite","","","","TC003 - Array operations work correctly",""
"failed","Tue Feb 10 15:29:07 UTC 2026","Tue Feb 10 15:29:07 UTC 2026","524","","Transfers from Flexi Account","","","","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)",""
