"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252314","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 2 (example #3)","","2026-03-23","passed","2026-03-23","","Transfers from Flexi Account","",""
"","274068","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 3 (example #4)","","2026-03-23","passed","2026-03-23","","Transfers from Flexi Account","",""
"","74718","Reverse Transfer - Company back to Flexi (Auto-Approved)","","2026-03-23","passed","2026-03-23","","Transfers from Company Account - Reverse to Flexi","",""
"","256624","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)","","2026-03-23","passed","2026-03-23","","Transfers from Flexi Account","",""
"","226081","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 1 (example #2)","","2026-03-23","passed","2026-03-23","","Transfers from Flexi Account","",""
